Fecha,Categoria,Ticker,Nombre,Precio,Moneda,Volumen,Volumen $,Cantidad de operaciones
2024-06-17 13:15:39,BONCER,TZX25,BONO TESORO NAC AJ CER V30/06/25 $ CG,"$160,45",Pesos Argentinos,593.396,"$ 951.700,00",5
2024-06-17 13:15:41,BONCER,TZX26,BONO REP ARG AJ CER V30/06/26 $ CG,"$179,60",Pesos Argentinos,1.607.639,"$ 2.867.552,00",29
2024-06-17 13:15:44,BONCER,TZX27,BONO REP ARG AJ CER V30/06/27 $ CG,"$166,50",Pesos Argentinos,2.735.667,"$ 4.588.680,00",18
2024-06-17 13:15:47,BONCER,TZX28,BONO REP ARG AJ CER V30/06/28 $ CG,"$153,70",Pesos Argentinos,595.844,"$ 914.927,00",6
2024-06-17 13:15:51,BONCER,TZXD5,BONTES $ A DESC AJ CER V15/12/25,"$139,55",Pesos Argentinos,137.786.779,"$ 1.545.984,00",7
2024-06-17 13:15:53,BONCER,TZXD6,BONTES $ A DESC AJ CER V15/12/26,"$127,95",Pesos Argentinos,11.041.564,"$ 14.132.377,00",19
2024-06-17 13:15:56,BONCER,TZXD7,BONTES $ A DESC AJ CER V15/12/27,"$118,70",Pesos Argentinos,100,"$ 119,00",1
2024-06-17 13:15:58,BONCER,TZXM6,BONO DEL TESORO NACIONAL EN PESOS CERO CUPÓN CON AJUSTE POR CER VENCIMIENTO 31 DE MARZO DE 2026,"$109,70",Pesos Argentinos,3.384,"$ 3.712,00",3
2024-06-17 13:16:01,BONO DUAL,TDG24,BONO NACION MONEDA DUAL 30/08/2024,"$103.170,00",Pesos Argentinos,1.600,"$ 1.644.218,00",8
2024-06-17 13:16:04,BONO DUAL,TDJ24,BONO NACION MONEDA DUAL 30/06/24,"$114.410,00",Pesos Argentinos,3.582.095,"$ 4.094.797.378,00",80
2024-06-17 13:16:07,BONO DUAL,TDE25,BONO NACION MONEDA DUAL 31/01/2025,"$108.570,00",Pesos Argentinos,54,"$ 58.628,00",1
2024-06-17 13:16:09,BONO LINKED,TV25,BONO REP ARG VINC USD V31/03/25,"$99.180,00",Pesos Argentinos,814,"$ 808.157,00",6
2024-06-17 13:16:12,BONO LINKED,TZV25,BONO TESORO NACIONAL 30/06/25 U$S CG,"$98.710,00",Pesos Argentinos,50,"$ 49.355,00",2
2024-06-17 13:16:15,LECAP,S01L4,,"$103,91",Pesos Argentinos,5.865.668.711,"$ 6.094.843.470,00",766
2024-06-17 13:16:17,LECAP,S12L4,,"$102,20",Pesos Argentinos,152.995.156,"$ 156.502.548,00",65
2024-06-17 13:16:19,LECAP,S26L4,,"$104,60",Pesos Argentinos,5.379.904.556,"$ 5.621.512.112,00",335
2024-06-17 13:16:22,LECAP,S16G4,,"$103,00",Pesos Argentinos,142.045.951,"$ 146.346.833,00",55
2024-06-17 13:16:24,LECAP,S30G4,,"$104,20",Pesos Argentinos,693.412.759,"$ 722.244.142,00",169
2024-06-17 13:16:27,LECAP,S14O4,LETRA DEL TESORO NACIONAL CAPITALIZABLE EN PESOS CON VENCIMIENTO 14 DE OCTUBRE DE 2024,"$113,50",Pesos Argentinos,391.859.542,"$ 443.755.967,00",279
2024-06-17 13:16:30,LECAP,S29N4,LETRA DEL TESORO NACIONAL CAPITALIZABLE EN PESOS CON VENCIMIENTO 29 DE NOVIEMBRE DE 2024,"$108,90",Pesos Argentinos,696.848.332,"$ 757.973.267,00",538
2024-06-17 13:16:32,LECAP,S31E5,LT REP ARGENTINA CAP $ V31/01/25,"$128,20",Pesos Argentinos,63.310.069,"$ 80.822.480,00",254
2024-06-17 13:16:35,LECAP,S28F5,LETRA DEL TESORO NACIONAL CAPITALIZABLE EN PESOS CON VENCIMIENTO 28 DE FEBRERO DE 2025,"$112,40",Pesos Argentinos,21.160.853,"$ 23.845.697,00",140
2024-06-17 13:16:37,LECAP,S31M5,LETRA DEL TESORO NACIONAL CAPITALIZABLE EN PESOS CON VENCIMIENTO 31 DE MARZO DE 2025,"$106,80",Pesos Argentinos,112.734.674,"$ 120.353.426,00",132
2024-06-17 13:16:40,BONO DOLARES L.ARG,AL30D,BONO REP. ARGENTINA USD STEP UP 2030,"U$S56,80",Dólares,133.558.065,"U$S 75.190.096,00",73684
